poblacion,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2,2023-3,2023-4
Alaior,34,50,32,58,52,69,35,63,38,42,50,46,51,34,29,68,42,18,39,63,51,57,72,84,77,60,54,68,61,55,34,144
Alaró,18,9,14,16,18,29,23,19,29,16,14,18,26,14,11,26,13,9,8,29,11,14,23,15,17,18,22,23,11,18,16,9
Alcúdia,62,83,98,109,82,103,80,110,67,319,82,123,94,73,83,95,64,27,59,66,57,66,86,106,90,88,72,82,75,65,57,89
Algaida,8,13,9,5,7,13,5,10,11,12,10,16,12,5,10,12,12,10,8,5,11,11,9,6,14,7,14,8,6,21,8,7
Andratx,83,120,108,92,74,125,101,131,86,98,101,122,66,60,101,155,60,31,71,79,87,99,135,167,115,145,113,85,77,73,68,82
Ariany,0,2,0,1,0,4,1,3,1,0,2,2,0,1,1,2,2,1,0,2,2,6,3,3,2,2,4,2,1,10,0,0
Artà,25,26,36,28,22,38,34,63,35,39,45,49,43,46,36,33,23,10,47,32,31,40,39,79,46,47,39,40,27,32,24,68
Banyalbufar,1,2,1,4,1,3,3,4,0,1,4,1,1,6,3,2,3,1,4,6,3,0,6,2,4,4,4,2,7,0,2,4
Binissalem,13,6,14,12,20,17,19,18,14,17,8,16,14,14,22,15,25,9,12,13,11,23,15,21,13,29,21,18,20,18,13,14
Búger,1,1,1,3,3,2,3,3,4,3,2,1,1,6,1,1,1,1,3,4,2,4,5,6,2,1,3,5,1,2,3,1
Bunyola,12,20,11,14,13,21,17,15,23,20,12,14,13,24,11,12,9,7,9,14,14,17,16,25,13,16,14,21,44,10,13,14
Calvià,315,441,366,493,437,513,367,468,338,409,313,373,293,343,263,387,239,93,288,277,266,741,582,503,466,480,407,391,291,360,262,268
Campanet,6,9,6,6,7,3,7,11,10,8,7,13,6,16,8,4,2,6,6,7,4,8,8,13,9,26,5,4,8,4,8,13
Campos,25,31,28,48,32,51,50,61,69,72,56,101,65,47,54,59,36,22,44,102,45,63,59,66,67,64,33,38,45,51,39,50
Capdepera,59,77,55,65,51,66,67,62,52,59,50,70,59,96,65,99,42,12,56,69,38,100,95,99,73,81,90,58,60,57,61,83
Castell (Es),28,27,20,21,34,41,17,31,35,21,32,40,26,27,31,34,17,12,23,18,23,32,23,40,29,45,33,39,20,21,30,19
Ciutadella de Menorca,148,119,100,158,149,164,130,157,162,166,130,166,130,121,94,126,118,63,85,145,124,139,104,297,168,196,177,183,154,187,111,134
Consell,4,7,12,6,11,11,6,8,11,9,14,8,6,7,5,11,8,3,2,7,7,10,6,9,10,15,10,10,11,11,2,7
Costitx,0,3,2,2,1,3,0,2,3,4,2,4,5,2,4,3,3,1,1,3,1,2,4,4,1,1,5,0,9,4,2,2
Deyá,2,6,4,2,3,2,2,5,5,1,1,1,2,1,1,1,7,0,4,7,2,4,6,4,3,5,13,8,8,3,4,6
Eivissa,164,201,110,188,182,152,112,159,128,131,80,123,142,130,92,123,111,47,82,108,110,135,127,173,166,188,126,261,164,143,81,138
